2024-10-23 23:57:59,995 [Worker-6: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2024-10-24 00:00:27,231 [Worker-2: Creating project "tao.digital.task"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: tao.digital.task:tao.digital.task:0.0.1-SNAPSHOT @ C:\Users\ADMIN\Desktop\task\tao.digital.task\pom.xml.
2024-10-24 00:00:28,218 [Worker-2: Creating project "tao.digital.task"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /tao.digital.task/src/main/java
2024-10-24 00:00:28,221 [Worker-2: Creating project "tao.digital.task"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /tao.digital.task/src/main/resources
2024-10-24 00:00:28,223 [Worker-2: Creating project "tao.digital.task"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /tao.digital.task/src/test/java
2024-10-24 00:00:28,225 [Worker-2: Creating project "tao.digital.task"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /tao.digital.task/src/test/resources
2024-10-24 00:00:28,611 [Worker-17: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-24 00:00:28,634 [Worker-17: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\main\resources to target\classes
2024-10-24 00:00:28,645 [Worker-17: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-24 00:00:28,647 [Worker-17: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\test\resources to target\test-classes
2024-10-24 00:02:06,752 [Worker-11: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-24 00:02:06,757 [Worker-11: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\main\resources to target\classes
2024-10-24 00:02:06,761 [Worker-11: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-24 00:02:06,765 [Worker-11: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\test\resources to target\test-classes
2024-10-24 00:04:03,832 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/boot/spring-boot-starter-parent/3.1.4/spring-boot-starter-parent-3.1.4.pom
2024-10-24 00:04:03,858 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/boot/spring-boot-starter-parent/3.1.4/spring-boot-starter-parent-3.1.4.pom
2024-10-24 00:04:03,898 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/boot/spring-boot-dependencies/3.1.4/spring-boot-dependencies-3.1.4.pom
2024-10-24 00:04:03,935 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/boot/spring-boot-dependencies/3.1.4/spring-boot-dependencies-3.1.4.pom
2024-10-24 00:04:04,009 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/groovy/groovy-bom/4.0.15/groovy-bom-4.0.15.pom
2024-10-24 00:04:04,025 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/groovy/groovy-bom/4.0.15/groovy-bom-4.0.15.pom
2024-10-24 00:04:04,081 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/infinispan/infinispan-bom/14.0.17.Final/infinispan-bom-14.0.17.Final.pom
2024-10-24 00:04:04,097 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/infinispan/infinispan-bom/14.0.17.Final/infinispan-bom-14.0.17.Final.pom
2024-10-24 00:04:04,137 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/infinispan/infinispan-build-configuration-parent/14.0.17.Final/infinispan-build-configuration-parent-14.0.17.Final.pom
2024-10-24 00:04:04,141 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/infinispan/infinispan-build-configuration-parent/14.0.17.Final/infinispan-build-configuration-parent-14.0.17.Final.pom
2024-10-24 00:04:04,193 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/glassfish/jersey/jersey-bom/3.1.3/jersey-bom-3.1.3.pom
2024-10-24 00:04:04,197 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/glassfish/jersey/jersey-bom/3.1.3/jersey-bom-3.1.3.pom
2024-10-24 00:04:04,231 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-bom/11.0.16/jetty-bom-11.0.16.pom
2024-10-24 00:04:04,235 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-bom/11.0.16/jetty-bom-11.0.16.pom
2024-10-24 00:04:04,288 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/io/micrometer/micrometer-bom/1.11.4/micrometer-bom-1.11.4.pom
2024-10-24 00:04:04,291 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/io/micrometer/micrometer-bom/1.11.4/micrometer-bom-1.11.4.pom
2024-10-24 00:04:04,324 [Worker-16: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/io/micrometer/micrometer-tracing-bom/1.1.5/micrometer-tracing-bom-1.1.5.pom
